Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200102:2130,0.0,0.0,23.99,1.24,0.0
20200102:2230,0.0,0.0,23.57,1.24,0.0
20200102:2330,0.0,0.0,23.17,1.24,0.0
20200103:0030,0.0,0.0,22.83,1.31,0.0
20200103:0130,14.85,3.39,22.54,1.45,0.0
20200103:0230,361.28,16.71,22.83,1.17,0.0
20200103:0330,617.94,29.46,25.55,0.83,0.0
20200103:0430,786.5,41.14,27.91,0.55,0.0
20200103:0530,909.33,50.77,29.66,0.41,0.0
20200103:0630,926.01,56.51,31.07,0.76,0.0
20200103:0730,796.2,56.3,32.28,0.97,0.0
20200103:0830,616.07,50.23,32.49,1.52,0.0
20200103:0930,567.01,40.42,32.03,2.14,0.0
20200103:1030,409.0,28.65,31.39,2.41,0.0
20200103:1130,265.02,15.85,30.45,2.28,0.0
20200103:1230,113.52,2.5,29.15,1.86,0.0
20200103:1330,0.0,0.0,27.84,1.31,0.0
20200103:1430,0.0,0.0,26.95,1.03,0.0
20200103:1530,0.0,0.0,26.4,0.9,0.0
20200103:1630,0.0,0.0,25.96,0.62,0.0
20200103:1730,0.0,0.0,25.91,0.41,0.0
20200103:1830,0.0,0.0,25.47,0.97,0.0
20200103:1930,0.0,0.0,25.17,0.62,0.0
20200103:2030,0.0,0.0,25.43,0.41,0.0
20200103:2130,0.0,0.0,24.87,0.55,0.0
20200103:2230,0.0,0.0,24.58,0.62,0.0
20200103:2330,0.0,0.0,24.19,0.69,0.0
20200104:0030,0.0,0.0,23.98,1.03,0.0
20200104:0130,14.77,3.32,23.85,1.17,0.0
20200104:0230,326.63,16.65,23.8,0.83,0.0
20200104:0330,592.26,29.41,26.37,0.41,0.0
20200104:0430,791.57,41.12,28.31,0.14,0.0
20200104:0530,799.61,50.8,29.81,0.28,0.0
20200104:0630,825.81,56.59,30.86,0.55,0.0
20200104:0730,793.57,56.42,31.54,1.03,0.0
20200104:0830,773.29,50.37,31.87,1.45,0.0
20200104:0930,601.42,40.56,31.83,1.86,0.0
20200104:1030,438.43,28.78,31.25,2.14,0.0
20200104:1130,209.74,15.98,30.39,2.21,0.0
20200104:1230,83.98,2.62,29.05,1.86,0.0
20200104:1330,0.0,0.0,27.9,1.38,0.0
20200104:1430,0.0,0.0,27.15,0.97,0.0
20200104:1530,0.0,0.0,26.59,0.9,0.0
20200104:1630,0.0,0.0,25.74,0.48,0.0
20200104:1730,0.0,0.0,25.55,0.69,0.0
20200104:1830,0.0,0.0,25.06,0.97,0.0
20200104:1930,0.0,0.0,24.92,0.69,0.0
20200104:2030,0.0,0.0,24.8,0.9,0.0
20200104:2130,0.0,0.0,24.35,0.83,0.0
20200104:2230,0.0,0.0,24.3,0.97,0.0
20200104:2330,0.0,0.0,24.24,1.1,0.0
20200105:0030,0.0,0.0,24.13,1.1,0.0
20200105:0130,13.2,3.24,23.8,1.24,0.0
20200105:0230,332.26,16.59,24.0,0.9,0.0
20200105:0330,487.07,29.37,26.14,0.55,0.0
20200105:0430,719.89,41.11,27.91,0.55,0.0
20200105:0530,874.36,50.82,29.42,0.69,0.0
20200105:0630,760.43,56.67,30.82,0.76,0.0
20200105:0730,903.46,56.55,30.53,0.62,0.0
20200105:0830,586.99,50.52,31.36,0.76,0.0
20200105:0930,557.32,40.71,30.72,0.83,0.0
20200105:1030,407.75,28.92,30.36,0.55,0.0
20200105:1130,228.12,16.11,29.99,0.41,0.0
20200105:1230,117.26,2.74,29.17,0.76,0.0
20200105:1330,0.0,0.0,27.89,0.9,0.0
20200105:1430,0.0,0.0,26.94,0.76,0.0
20200105:1530,0.0,0.0,26.32,0.62,0.0
20200105:1630,0.0,0.0,26.37,0.34,0.0
20200105:1730,0.0,0.0,26.3,0.21,0.0
20200105:1830,0.0,0.0,25.27,0.69,0.0
20200105:1930,0.0,0.0,25.8,0.28,0.0
20200105:2030,0.0,0.0,25.3,0.48,0.0
20200105:2130,0.0,0.0,24.17,0.97,0.0
20200105:2230,0.0,0.0,23.85,0.97,0.0
20200105:2330,0.0,0.0,23.76,0.69,0.0
20200106:0030,0.0,0.0,24.25,0.34,0.0
20200106:0130,13.89,3.17,24.15,0.34,0.0
20200106:0230,337.05,16.54,23.78,0.55,0.0
20200106:0330,575.37,29.34,26.12,0.14,0.0
20200106:0430,734.35,41.11,27.86,0.21,0.0
20200106:0530,912.4,50.86,29.57,0.48,0.0
20200106:0630,997.2,56.76,31.0,0.69,0.0
20200106:0730,1002.51,56.69,32.4,0.62,0.0
20200106:0830,856.67,50.67,33.32,0.69,0.0
20200106:0930,803.33,40.86,33.65,0.69,0.0
20200106:1030,575.33,29.06,33.81,0.83,0.0
20200106:1130,343.8,16.24,33.03,1.38,0.0
20200106:1230,132.61,2.86,31.16,1.72,0.0
20200106:1330,0.0,0.0,29.32,1.66,0.0
20200106:1430,0.0,0.0,28.07,1.24,0.0
20200106:1530,0.0,0.0,26.83,0.69,0.0
20200106:1630,0.0,0.0,26.47,0.55,0.0
20200106:1730,0.0,0.0,26.03,0.83,0.0
20200106:1830,0.0,0.0,25.44,0.9,0.0
20200106:1930,0.0,0.0,25.02,0.83,0.0
20200106:2030,0.0,0.0,24.59,0.9,0.0
20200106:2130,0.0,0.0,24.14,0.97,0.0
20200106:2230,0.0,0.0,23.78,1.03,0.0
20200106:2330,0.0,0.0,23.41,1.03,0.0
20200107:0030,0.0,0.0,23.22,1.1,0.0
20200107:0130,13.97,3.1,22.95,1.31,0.0
20200107:0230,331.51,16.48,23.42,1.03,0.0
20200107:0330,572.4,29.31,25.73,1.1,0.0
20200107:0430,745.96,41.1,27.57,0.69,0.0
20200107:0530,891.09,50.9,29.25,0.21,0.0
20200107:0630,983.36,56.86,30.81,0.21,0.0
20200107:0730,943.88,56.83,32.38,0.21,0.0
20200107:0830,809.28,50.83,33.13,0.76,0.0
20200107:0930,523.01,41.01,33.3,1.31,0.0
20200107:1030,439.36,29.2,32.44,1.72,0.0
20200107:1130,261.88,16.37,31.64,1.79,0.0
20200107:1230,99.51,2.98,30.16,1.59,0.0
20200107:1330,0.0,0.0,28.8,1.31,0.0
20200107:1430,0.0,0.0,27.46,0.9,0.0
20200107:1530,0.0,0.0,27.39,0.41,0.0
20200107:1630,0.0,0.0,26.26,0.69,0.0
20200107:1730,0.0,0.0,25.81,1.03,0.0
20200107:1830,0.0,0.0,24.89,0.9,0.0
20200107:1930,0.0,0.0,25.47,0.41,0.0
20200107:2030,0.0,0.0,24.89,0.55,0.0
20200107:2130,0.0,0.0,23.98,0.76,0.0
20200107:2230,0.0,0.0,23.39,1.03,0.0
20200107:2330,0.0,0.0,23.12,1.1,0.0
20200108:0030,0.0,0.0,23.14,1.24,0.0
20200108:0130,12.0,3.04,22.98,1.31,0.0
20200108:0230,212.63,16.43,23.21,1.31,0.0
20200108:0330,520.63,29.28,25.2,1.24,0.0
20200108:0430,743.05,41.11,27.16,1.03,0.0
20200108:0530,825.94,50.95,28.74,0.69,0.0
20200108:0630,944.92,56.96,30.07,0.69,0.0
20200108:0730,959.21,56.98,31.16,0.9,0.0
20200108:0830,788.4,50.99,31.93,1.38,0.0
20200108:0930,591.29,41.16,32.05,1.66,0.0
20200108:1030,565.97,29.34,31.5,2.14,0.0
20200108:1130,342.51,16.5,30.7,2.34,0.0
20200108:1230,129.3,3.11,29.29,1.93,0.0
20200108:1330,0.0,0.0,27.78,1.31,0.0
20200108:1430,0.0,0.0,26.79,1.03,0.0
20200108:1530,0.0,0.0,26.0,0.69,0.0
20200108:1630,0.0,0.0,26.28,0.21,0.0
20200108:1730,0.0,0.0,25.84,0.14,0.0
20200108:1830,0.0,0.0,24.9,0.62,0.0
20200108:1930,0.0,0.0,24.74,0.62,0.0
20200108:2030,0.0,0.0,23.96,0.9,0.0
20200108:2130,0.0,0.0,23.66,1.17,0.0
20200108:2230,0.0,0.0,23.57,1.38,0.0
20200108:2330,0.0,0.0,23.03,1.38,0.0
20200109:0030,0.0,0.0,22.77,1.38,0.0
20200109:0130,12.8,2.97,22.37,1.31,0.0
20200109:0230,332.51,16.39,22.55,1.03,0.0
20200109:0330,578.36,29.26,25.38,0.97,0.0
20200109:0430,826.85,41.12,27.23,0.76,0.0
20200109:0530,933.43,51.0,29.14,0.48,0.0
20200109:0630,932.25,57.08,30.67,0.41,0.0
20200109:0730,909.03,57.14,31.53,0.9,0.0
20200109:0830,936.13,51.16,32.23,1.38,0.0
20200109:0930,784.17,41.32,32.55,1.79,0.0
20200109:1030,580.26,29.49,32.12,2.28,0.0
20200109:1130,373.39,16.63,30.98,2.62,0.0
20200109:1230,139.08,3.23,29.29,2.21,0.0
20200109:1330,0.0,0.0,27.57,1.31,0.0
20200109:1430,0.0,0.0,26.39,0.62,0.0
20200109:1530,0.0,0.0,26.54,0.14,0.0
20200109:1630,0.0,0.0,26.09,0.28,0.0
20200109:1730,0.0,0.0,25.57,0.34,0.0
20200109:1830,0.0,0.0,24.65,0.69,0.0
20200109:1930,0.0,0.0,24.02,0.9,0.0
20200109:2030,0.0,0.0,23.54,1.24,0.0
20200109:2130,0.0,0.0,23.1,1.31,0.0
20200109:2230,0.0,0.0,22.69,1.31,0.0
20200109:2330,0.0,0.0,22.12,1.38,0.0
20200110:0030,0.0,0.0,21.86,1.38,0.0
20200110:0130,14.13,2.91,21.65,1.38,0.0
20200110:0230,363.3,16.35,21.93,1.03,0.0
20200110:0330,587.9,29.24,25.15,0.76,0.0
20200110:0430,777.6,41.13,26.98,0.41,0.0
20200110:0530,940.11,51.06,28.7,0.34,0.0
20200110:0630,960.58,57.19,30.4,0.48,0.0
20200110:0730,980.85,57.3,31.37,0.76,0.0
20200110:0830,880.87,51.33,32.2,1.31,0.0
20200110:0930,726.36,41.48,32.44,1.79,0.0
20200110:1030,561.3,29.63,31.77,2.41,0.0
20200110:1130,365.42,16.77,30.82,2.69,0.0
20200110:1230,139.0,3.35,29.12,2.34,0.0
20200110:1330,0.0,0.0,27.45,1.52,0.0
20200110:1430,0.0,0.0,26.35,0.83,0.0
20200110:1530,0.0,0.0,25.5,0.62,0.0
20200110:1630,0.0,0.0,25.11,0.83,0.0
20200110:1730,0.0,0.0,24.51,1.03,0.0
20200110:1830,0.0,0.0,24.04,1.38,0.0
20200110:1930,0.0,0.0,23.38,1.1,0.0
20200110:2030,0.0,0.0,22.98,1.24,0.0
20200110:2130,0.0,0.0,22.43,1.24,0.0
20200110:2230,0.0,0.0,21.96,1.31,0.0
20200110:2330,0.0,0.0,21.4,1.31,0.0
20200111:0030,0.0,0.0,20.83,1.38,0.0
20200111:0130,14.29,2.86,20.32,1.45,0.0
20200111:0230,386.88,16.31,20.49,1.31,0.0
20200111:0330,642.54,29.22,23.51,1.17,0.0
20200111:0430,850.74,41.15,26.29,0.9,0.0
20200111:0530,984.92,51.13,28.27,0.28,0.0
20200111:0630,1048.1,57.32,29.96,0.21,0.0
20200111:0730,1048.82,57.47,31.4,0.62,0.0
20200111:0830,980.94,51.51,32.28,0.9,0.0
20200111:0930,840.39,41.65,32.66,1.17,0.0
20200111:1030,645.0,29.78,32.58,1.24,0.0
20200111:1130,397.27,16.9,31.9,1.59,0.0
20200111:1230,147.01,3.47,30.24,1.66,0.0
20200111:1330,0.0,0.0,28.3,1.24,0.0
20200111:1430,0.0,0.0,27.01,0.55,0.0
20200111:1530,0.0,0.0,25.7,0.21,0.0
20200111:1630,0.0,0.0,24.3,0.28,0.0
20200111:1730,0.0,0.0,23.64,1.1,0.0
20200111:1830,0.0,0.0,22.78,1.52,0.0
20200111:1930,0.0,0.0,22.26,1.45,0.0
20200111:2030,0.0,0.0,21.61,1.45,0.0
20200111:2130,0.0,0.0,20.98,1.45,0.0
20200111:2230,0.0,0.0,20.47,1.52,0.0
20200111:2330,0.0,0.0,20.0,1.52,0.0
20200112:0030,0.0,0.0,19.57,1.52,0.0
20200112:0130,13.77,2.8,19.26,1.52,0.0
20200112:0230,406.35,16.27,19.45,1.38,0.0
20200112:0330,660.22,29.21,22.83,1.03,0.0
20200112:0430,844.56,41.17,26.46,1.03,0.0
20200112:0530,1009.44,51.2,28.9,0.83,0.0
20200112:0630,1071.05,57.45,30.93,0.28,0.0
20200112:0730,1071.34,57.64,32.08,0.69,0.0
20200112:0830,993.61,51.69,32.89,1.38,0.0
20200112:0930,849.99,41.81,33.0,2.0,0.0
20200112:1030,648.46,29.93,32.35,2.76,0.0
20200112:1130,397.62,17.03,30.86,3.17,0.0
20200112:1230,145.57,3.59,28.82,2.69,0.0
20200112:1330,0.0,0.0,26.99,1.72,0.0
20200112:1430,0.0,0.0,25.79,1.1,0.0
20200112:1530,0.0,0.0,24.68,0.69,0.0
20200112:1630,0.0,0.0,24.34,0.76,0.0
20200112:1730,0.0,0.0,24.03,1.24,0.0
20200112:1830,0.0,0.0,23.43,1.38,0.0
20200112:1930,0.0,0.0,22.4,0.97,0.0
20200112:2030,0.0,0.0,21.92,1.17,0.0
20200112:2130,0.0,0.0,21.41,1.17,0.0
20200112:2230,0.0,0.0,21.11,1.31,0.0
20200112:2330,0.0,0.0,21.03,1.45,0.0
20200113:0030,0.0,0.0,20.43,1.52,0.0
20200113:0130,13.85,2.75,19.98,1.52,0.0
20200113:0230,388.52,16.24,20.23,1.1,0.0
20200113:0330,637.06,29.21,24.2,0.76,0.0
20200113:0430,819.72,41.2,26.73,0.55,0.0
20200113:0530,989.75,51.28,28.75,0.28,0.0
20200113:0630,1054.61,57.59,30.44,0.41,0.0
20200113:0730,1045.1,57.83,31.82,0.97,0.0
20200113:0830,943.52,51.87,32.57,1.38,0.0
20200113:0930,809.27,41.98,32.79,1.79,0.0
20200113:1030,644.7,30.09,32.4,2.34,0.0
20200113:1130,365.87,17.17,31.19,2.69,0.0
20200113:1230,115.33,3.71,29.25,2.55,0.0
20200113:1330,0.0,0.0,27.32,1.79,0.0
20200113:1430,0.0,0.0,26.2,0.97,0.0
20200113:1530,0.0,0.0,25.83,0.21,0.0
20200113:1630,0.0,0.0,24.99,0.76,0.0
20200113:1730,0.0,0.0,24.34,1.1,0.0
20200113:1830,0.0,0.0,23.86,1.1,0.0
20200113:1930,0.0,0.0,23.35,0.9,0.0
20200113:2030,0.0,0.0,23.05,1.03,0.0
20200113:2130,0.0,0.0,22.67,1.17,0.0
20200113:2230,0.0,0.0,22.44,1.24,0.0
20200113:2330,0.0,0.0,22.15,1.31,0.0
20200114:0030,0.0,0.0,21.59,1.24,0.0
20200114:0130,13.24,2.7,21.16,1.31,0.0
20200114:0230,347.54,16.21,21.23,0.9,0.0
20200114:0330,605.88,29.21,25.0,0.76,0.0
20200114:0430,803.31,41.23,27.01,0.48,0.0
20200114:0530,960.55,51.36,28.76,0.48,0.0
20200114:0630,1006.34,57.74,30.31,0.83,0.0
20200114:0730,1013.66,58.01,31.54,1.03,0.0
20200114:0830,950.63,52.06,32.38,1.38,0.0
20200114:0930,806.31,42.16,32.7,1.79,0.0
20200114:1030,631.8,30.24,32.37,2.21,0.0
20200114:1130,384.64,17.3,31.2,2.62,0.0
20200114:1230,135.67,3.83,29.36,2.41,0.0
20200114:1330,0.0,0.0,27.45,1.52,0.0
20200114:1430,0.0,0.0,26.32,0.76,0.0
20200114:1530,0.0,0.0,25.85,0.21,0.0
20200114:1630,0.0,0.0,24.88,0.34,0.0
20200114:1730,0.0,0.0,24.85,0.34,0.0
20200114:1830,0.0,0.0,24.02,0.69,0.0
20200114:1930,0.0,0.0,23.6,0.62,0.0
20200114:2030,0.0,0.0,23.05,0.83,0.0
20200114:2130,0.0,0.0,22.67,1.03,0.0
20200114:2230,0.0,0.0,22.73,1.1,0.0
20200114:2330,0.0,0.0,22.54,1.24,0.0
20200115:0030,0.0,0.0,22.35,1.17,0.0
20200115:0130,12.0,2.66,22.22,1.17,0.0
20200115:0230,253.39,16.19,22.7,0.97,0.0
20200115:0330,477.67,29.21,24.76,1.03,0.0
20200115:0430,681.89,41.27,26.44,0.76,0.0
20200115:0530,900.85,51.45,27.78,0.48,0.0
20200115:0630,840.15,57.89,29.9,0.62,0.0
20200115:0730,778.42,58.21,30.51,1.24,0.0
20200115:0830,842.99,52.26,31.1,1.66,0.0
20200115:0930,783.35,42.33,31.52,1.93,0.0
20200115:1030,641.41,30.39,31.37,2.14,0.0
20200115:1130,392.84,17.44,30.57,2.34,0.0
20200115:1230,141.3,3.95,29.02,2.21,0.0
20200115:1330,0.0,0.0,27.18,1.59,0.0
20200115:1430,0.0,0.0,26.05,1.03,0.0
20200115:1530,0.0,0.0,25.66,0.28,0.0
20200115:1630,0.0,0.0,24.69,0.62,0.0
20200115:1730,0.0,0.0,24.06,0.9,0.0
20200115:1830,0.0,0.0,23.61,0.9,0.0
20200115:1930,0.0,0.0,23.32,0.9,0.0
20200115:2030,0.0,0.0,23.01,0.97,0.0
20200115:2130,0.0,0.0,22.89,0.9,0.0
20200115:2230,0.0,0.0,22.69,0.76,0.0
20200115:2330,0.0,0.0,22.3,0.83,0.0
20200116:0030,0.0,0.0,22.3,0.9,0.0
20200116:0130,11.11,2.62,22.1,0.97,0.0
20200116:0230,270.14,16.17,22.15,0.76,0.0
20200116:0330,501.96,29.21,23.95,0.62,0.0
20200116:0430,740.09,41.32,25.79,0.48,0.0
20200116:0530,865.17,51.55,27.73,0.21,0.0
20200116:0630,886.74,58.05,29.46,0.14,0.0
20200116:0730,752.34,58.41,30.32,0.34,0.0
20200116:0830,625.69,52.45,31.29,1.03,0.0
20200116:0930,614.41,42.51,31.49,1.79,0.0
20200116:1030,566.26,30.55,31.12,2.55,0.0
20200116:1130,303.99,17.58,30.06,2.83,0.0
20200116:1230,134.73,4.07,28.54,2.41,0.0
20200116:1330,0.0,0.0,27.03,1.52,0.0
20200116:1430,0.0,0.0,26.23,0.76,0.0
20200116:1530,0.0,0.0,25.65,0.21,0.0
20200116:1630,0.0,0.0,24.93,0.55,0.0
20200116:1730,0.0,0.0,24.46,0.69,0.0
20200116:1830,0.0,0.0,23.89,0.55,0.0
20200116:1930,0.0,0.0,24.1,0.55,0.0
20200116:2030,0.0,0.0,23.96,0.48,0.0
20200116:2130,0.0,0.0,23.44,0.62,0.0
20200116:2230,0.0,0.0,22.87,0.76,0.0
20200116:2330,0.0,0.0,22.62,1.1,0.0
20200117:0030,0.0,0.0,22.44,1.17,0.0
20200117:0130,12.96,2.58,22.02,1.1,0.0
20200117:0230,367.0,16.15,21.96,0.83,0.0
20200117:0330,610.65,29.23,24.98,0.48,0.0
20200117:0430,812.05,41.36,26.96,0.28,0.0
20200117:0530,942.09,51.65,28.91,0.28,0.0
20200117:0630,998.78,58.21,30.7,0.48,0.0
20200117:0730,1009.87,58.62,32.1,0.83,0.0
20200117:0830,888.11,52.66,33.08,1.24,0.0
20200117:0930,668.92,42.69,33.48,1.59,0.0
20200117:1030,568.05,30.7,33.07,2.21,0.0
20200117:1130,284.12,17.71,31.97,2.76,0.0
20200117:1230,138.41,4.18,29.87,2.48,0.0
20200117:1330,0.0,0.0,28.0,1.72,0.0
20200117:1430,0.0,0.0,26.78,1.17,0.0
20200117:1530,0.0,0.0,25.9,0.76,0.0
20200117:1630,0.0,0.0,25.74,0.28,0.0
20200117:1730,0.0,0.0,25.14,0.34,0.0
20200117:1830,0.0,0.0,24.34,0.62,0.0
20200117:1930,0.0,0.0,24.2,0.62,0.0
20200117:2030,0.0,0.0,23.84,0.69,0.0
20200117:2130,0.0,0.0,23.31,0.76,0.0
20200117:2230,0.0,0.0,22.72,1.1,0.0
20200117:2330,0.0,0.0,22.85,1.31,0.0
20200118:0030,0.0,0.0,22.41,1.38,0.0
20200118:0130,12.28,2.55,22.05,1.38,0.0
20200118:0230,297.35,16.14,22.37,1.03,0.0
20200118:0330,476.33,29.24,25.53,0.69,0.0
20200118:0430,663.11,41.42,27.61,0.48,0.0
20200118:0530,886.82,51.76,29.48,0.28,0.0
20200118:0630,685.82,58.39,31.41,0.21,0.0
20200118:0730,868.05,58.83,32.5,0.55,0.0
20200118:0830,757.81,52.86,33.75,1.03,0.0
20200118:0930,606.46,42.87,33.96,1.72,0.0
20200118:1030,499.76,30.86,33.52,2.48,0.0
20200118:1130,249.11,17.85,32.28,2.76,0.0
20200118:1230,123.47,4.3,30.24,2.55,0.0
20200118:1330,0.0,0.0,28.48,1.86,0.0
20200118:1430,0.0,0.0,27.34,1.17,0.0
20200118:1530,0.0,0.0,26.57,0.97,0.0
20200118:1630,0.0,0.0,26.06,0.83,0.0
20200118:1730,0.0,0.0,25.7,0.48,0.0
20200118:1830,0.0,0.0,25.63,0.28,0.0
20200118:1930,0.0,0.0,25.78,0.21,0.0
20200118:2030,0.0,0.0,25.32,0.14,0.0
20200118:2130,0.0,0.0,24.67,0.55,0.0
20200118:2230,0.0,0.0,24.12,0.62,0.0
20200118:2330,0.0,0.0,23.84,0.9,0.0
20200119:0030,0.0,0.0,23.84,1.03,0.0
20200119:0130,12.72,2.52,23.73,1.03,0.0
20200119:0230,248.86,16.13,23.8,0.76,0.0
20200119:0330,483.69,29.26,25.96,0.34,0.0
20200119:0430,684.41,41.48,27.55,0.21,0.0
20200119:0530,770.14,51.87,29.2,0.28,0.0
20200119:0630,753.96,58.56,30.8,0.28,0.0
20200119:0730,937.25,59.05,31.52,0.48,0.0
20200119:0830,716.82,53.07,32.86,0.83,0.0
20200119:0930,637.82,43.05,32.63,1.38,0.0
20200119:1030,287.83,31.02,32.43,1.72,0.0
20200119:1130,204.9,17.98,31.3,2.0,0.0
20200119:1230,91.86,4.42,29.99,1.86,0.0
20200119:1330,0.0,0.0,28.63,1.38,0.0
20200119:1430,0.0,0.0,27.56,0.97,0.0
20200119:1530,0.0,0.0,26.78,0.76,0.0
20200119:1630,0.0,0.0,26.23,0.62,0.0
20200119:1730,0.0,0.0,26.17,0.9,0.0
20200119:1830,0.0,0.0,25.69,1.24,0.0
20200119:1930,0.0,0.0,25.26,0.55,0.0
20200119:2030,0.0,0.0,24.67,0.62,0.0
20200119:2130,0.0,0.0,24.34,0.69,0.0
20200119:2230,0.0,0.0,24.12,0.83,0.0
20200119:2330,0.0,0.0,23.97,1.03,0.0
20200120:0030,0.0,0.0,23.32,1.17,0.0
20200120:0130,12.28,2.49,23.02,1.17,0.0
20200120:0230,304.6,16.13,23.08,0.97,0.0
20200120:0330,598.9,29.28,25.09,0.62,0.0
20200120:0430,765.89,41.54,27.79,0.21,0.0
20200120:0530,873.47,51.99,29.72,0.14,0.0
20200120:0630,960.47,58.75,31.48,0.48,0.0
20200120:0730,912.07,59.27,32.8,0.76,0.0
20200120:0830,749.08,53.29,33.58,1.1,0.0
20200120:0930,606.14,43.24,33.78,1.59,0.0
20200120:1030,401.55,31.18,33.16,2.07,0.0
20200120:1130,325.98,18.12,32.34,2.14,0.0
20200120:1230,121.59,4.53,31.04,1.93,0.0
20200120:1330,0.0,0.0,29.56,1.59,0.0
20200120:1430,0.0,0.0,28.43,1.1,0.0
20200120:1530,0.0,0.0,27.47,0.76,0.0
20200120:1630,0.0,0.0,26.94,0.97,0.0
20200120:1730,0.0,0.0,26.27,1.03,0.0
20200120:1830,0.0,0.0,25.7,0.9,0.0
20200120:1930,0.0,0.0,25.28,0.83,0.0
20200120:2030,0.0,0.0,25.08,0.97,0.0
20200120:2130,0.0,0.0,24.55,0.9,0.0
20200120:2230,0.0,0.0,24.32,0.83,0.0
20200120:2330,0.0,0.0,23.92,0.83,0.0
20200121:0030,0.0,0.0,23.55,1.1,0.0
20200121:0130,13.32,2.46,23.15,1.31,0.0
20200121:0230,327.39,16.13,23.13,1.03,0.0
20200121:0330,596.37,29.31,26.08,0.76,0.0
20200121:0430,807.28,41.61,28.23,0.34,0.0
20200121:0530,950.2,52.11,30.23,0.14,0.0
20200121:0630,1021.81,58.94,31.95,0.62,0.0
20200121:0730,1020.75,59.5,33.42,0.9,0.0
20200121:0830,955.54,53.5,34.25,1.38,0.0
20200121:0930,810.57,43.42,34.62,1.72,0.0
20200121:1030,467.22,31.33,34.31,1.93,0.0
20200121:1130,277.06,18.25,32.9,2.62,0.0
20200121:1230,117.43,4.65,31.04,2.41,0.0
20200121:1330,0.0,0.0,29.39,1.86,0.0
20200121:1430,0.0,0.0,28.11,1.24,0.0
20200121:1530,0.0,0.0,27.35,1.03,0.0
20200121:1630,0.0,0.0,26.71,1.1,0.0
20200121:1730,0.0,0.0,26.16,1.1,0.0
20200121:1830,0.0,0.0,25.74,1.03,0.0
20200121:1930,0.0,0.0,25.22,0.9,0.0
20200121:2030,0.0,0.0,24.84,1.03,0.0
20200121:2130,0.0,0.0,24.21,1.1,0.0
20200121:2230,0.0,0.0,23.69,1.1,0.0
20200121:2330,0.0,0.0,23.16,1.17,0.0
20200122:0030,0.0,0.0,22.71,1.31,0.0
20200122:0130,12.84,2.44,22.55,1.38,0.0
20200122:0230,347.83,16.13,22.66,1.24,0.0
20200122:0330,598.74,29.34,25.48,1.03,0.0
20200122:0430,771.94,41.68,28.39,0.9,0.0
