Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180102:1700,23.99,87.15,0.0,-0.0,0.0,381.45,0.69,86.0,99540.0
20180102:1800,22.98,90.05,0.0,-0.0,0.0,377.95,1.03,99.0,99550.0
20180102:1900,23.06,87.1,0.0,-0.0,0.0,383.4,1.31,124.0,99500.0
20180102:2000,22.68,87.1,0.0,-0.0,0.0,384.15,1.31,119.0,99430.0
20180102:2100,22.28,90.0,0.0,-0.0,0.0,382.2,1.24,102.0,99380.0
20180102:2200,22.0,93.0,0.0,-0.0,0.0,387.05,1.1,80.0,99350.0
20180102:2300,21.63,89.95,0.0,-0.0,0.0,382.8,1.1,63.0,99360.0
20180103:0000,21.2,93.0,0.0,-0.0,0.0,377.55,1.03,56.0,99400.0
20180103:0100,21.06,93.0,0.0,-0.0,0.0,380.6,1.03,52.0,99510.0
20180103:0200,21.18,96.15,73.6,0.0,73.6,373.3,0.69,48.0,99600.0
20180103:0300,24.92,76.45,438.25,859.56,99.9,385.1,0.48,4.0,99680.0
20180103:0400,27.01,67.2,625.55,876.56,116.8,393.45,0.76,315.0,99740.0
20180103:0500,28.54,59.1,717.7,808.67,133.0,393.05,0.9,300.0,99720.0
20180103:0600,29.86,51.9,649.45,597.66,164.25,401.55,1.17,287.0,99650.0
20180103:0700,30.0,50.2,632.6,564.62,157.9,403.1,1.45,270.0,99550.0
20180103:0800,30.39,48.65,540.05,388.78,226.0,411.05,1.59,268.0,99450.0
20180103:0900,30.29,48.65,469.4,453.92,144.75,406.2,1.72,261.0,99350.0
20180103:1000,30.09,51.9,372.55,462.47,109.25,411.65,1.93,261.0,99290.0
20180103:1100,29.2,53.7,191.95,332.16,65.7,409.5,2.07,263.0,99280.0
20180103:1200,27.88,65.2,28.9,88.86,14.65,397.7,1.79,265.0,99340.0
20180103:1300,26.48,74.15,0.0,-0.0,0.0,394.6,1.38,273.0,99430.0
20180103:1400,25.58,79.1,0.0,-0.0,0.0,389.55,1.17,296.0,99540.0
20180103:1500,25.15,81.75,0.0,-0.0,0.0,406.0,0.97,330.0,99630.0
20180103:1600,24.72,84.4,0.0,-0.0,0.0,398.85,1.03,15.0,99700.0
20180103:1700,24.33,87.2,0.0,-0.0,0.0,400.2,0.97,43.0,99700.0
20180103:1800,24.06,90.1,0.0,-0.0,0.0,395.95,0.97,73.0,99670.0
20180103:1900,23.47,90.05,0.0,-0.0,0.0,390.75,0.97,95.0,99620.0
20180103:2000,23.18,90.05,0.0,-0.0,0.0,392.45,1.03,93.0,99600.0
20180103:2100,22.74,93.05,0.0,-0.0,0.0,387.05,0.97,91.0,99540.0
20180103:2200,22.5,93.05,0.0,-0.0,0.0,391.9,0.9,91.0,99510.0
20180103:2300,22.76,90.05,0.0,-0.0,0.0,388.0,0.55,80.0,99510.0
20180104:0000,23.28,87.1,0.0,-0.0,0.0,392.3,0.41,35.0,99540.0
20180104:0100,23.19,87.1,0.0,-0.0,0.0,394.7,0.28,15.0,99600.0
20180104:0200,23.29,87.1,61.75,0.0,61.75,386.65,0.28,84.0,99670.0
20180104:0300,25.14,76.5,356.4,575.03,130.55,392.1,0.07,177.0,99760.0
20180104:0400,26.71,67.2,578.4,785.25,123.0,396.9,0.14,117.0,99800.0
20180104:0500,28.34,59.1,636.75,666.28,155.0,389.2,0.0,222.0,99770.0
20180104:0600,29.61,53.7,702.85,629.11,191.8,398.1,0.21,290.0,99700.0
20180104:0700,30.62,50.3,765.15,714.44,163.8,400.2,0.55,261.0,99600.0
20180104:0800,31.63,45.7,668.4,620.2,166.55,408.15,0.97,252.0,99470.0
20180104:0900,31.82,42.85,567.05,568.59,159.4,406.6,1.59,250.0,99360.0
20180104:1000,31.53,44.2,375.3,465.24,109.5,406.6,2.0,253.0,99270.0
20180104:1100,30.34,50.3,199.45,335.56,71.2,407.55,2.55,250.0,99280.0
20180104:1200,28.51,61.1,29.85,94.47,14.5,392.85,2.21,250.0,99330.0
20180104:1300,26.85,69.5,0.0,-0.0,0.0,397.7,1.59,262.0,99410.0
20180104:1400,25.81,76.6,0.0,-0.0,0.0,392.3,1.1,295.0,99510.0
20180104:1500,25.12,79.1,0.0,-0.0,0.0,385.5,0.97,334.0,99590.0
20180104:1600,24.4,87.2,0.0,-0.0,0.0,383.55,0.62,2.0,99650.0
20180104:1700,24.34,87.2,0.0,-0.0,0.0,385.3,0.41,69.0,99650.0
20180104:1800,23.42,93.05,0.0,-0.0,0.0,383.75,0.76,105.0,99640.0
20180104:1900,23.16,93.05,0.0,-0.0,0.0,389.95,0.83,114.0,99560.0
20180104:2000,22.79,93.05,0.0,-0.0,0.0,383.2,0.97,105.0,99550.0
20180104:2100,22.57,93.05,0.0,-0.0,0.0,392.3,0.9,102.0,99510.0
20180104:2200,22.69,93.05,0.0,-0.0,0.0,406.8,0.69,102.0,99470.0
20180104:2300,22.61,93.05,0.0,-0.0,0.0,405.85,0.76,113.0,99460.0
20180105:0000,22.44,93.05,0.0,-0.0,0.0,395.4,1.24,113.0,99500.0
20180105:0100,21.86,93.0,0.0,-0.0,0.0,380.95,1.38,118.0,99570.0
20180105:0200,21.96,93.0,65.3,0.0,65.3,373.5,1.1,123.0,99630.0
20180105:0300,23.76,81.55,414.55,798.69,101.5,377.55,0.83,139.0,99720.0
20180105:0400,25.71,69.3,629.55,873.78,123.15,379.1,0.69,149.0,99760.0
20180105:0500,27.6,60.9,754.35,834.91,150.6,384.55,0.34,175.0,99710.0
20180105:0600,29.28,50.2,761.5,742.59,157.85,387.25,0.34,261.0,99630.0
20180105:0700,29.99,48.5,563.5,383.27,240.5,395.55,0.69,275.0,99530.0
20180105:0800,30.33,47.0,633.55,511.58,218.85,404.65,1.45,272.0,99410.0
20180105:0900,30.7,45.6,523.35,516.95,151.8,411.25,2.0,263.0,99270.0
20180105:1000,30.27,48.65,428.35,582.46,94.4,399.05,2.28,255.0,99180.0
20180105:1100,29.35,51.9,221.95,409.79,64.45,388.6,2.34,247.0,99180.0
20180105:1200,27.9,61.0,33.15,103.87,16.05,387.25,2.0,243.0,99210.0
20180105:1300,26.36,69.4,0.0,-0.0,0.0,387.85,1.31,254.0,99290.0
20180105:1400,25.5,74.0,0.0,-0.0,0.0,380.1,1.1,295.0,99370.0
20180105:1500,24.91,79.05,0.0,-0.0,0.0,382.6,1.17,329.0,99460.0
20180105:1600,24.3,81.65,0.0,-0.0,0.0,383.75,1.03,347.0,99520.0
20180105:1700,23.58,87.15,0.0,-0.0,0.0,383.2,0.83,24.0,99520.0
20180105:1800,23.22,90.05,0.0,-0.0,0.0,388.2,0.83,60.0,99490.0
20180105:1900,22.9,90.05,0.0,-0.0,0.0,383.75,0.9,100.0,99460.0
20180105:2000,22.74,90.05,0.0,-0.0,0.0,390.15,1.03,103.0,99420.0
20180105:2100,22.43,93.05,0.0,-0.0,0.0,388.6,1.03,103.0,99400.0
20180105:2200,22.28,90.0,0.0,-0.0,0.0,389.2,1.1,108.0,99380.0
20180105:2300,21.96,93.0,0.0,-0.0,0.0,394.2,1.17,118.0,99380.0
20180106:0000,21.71,93.0,0.0,-0.0,0.0,388.2,1.24,127.0,99450.0
20180106:0100,21.6,89.95,0.0,-0.0,0.0,396.65,1.24,129.0,99510.0
20180106:0200,21.84,89.95,46.85,0.0,46.85,400.6,0.97,124.0,99580.0
20180106:0300,22.88,87.1,235.75,331.03,106.25,388.6,0.83,137.0,99670.0
20180106:0400,24.27,73.85,385.35,386.81,161.3,404.3,0.76,148.0,99740.0
20180106:0500,25.71,64.8,585.6,543.36,192.6,397.9,0.48,166.0,99710.0
20180106:0600,27.26,56.95,782.4,787.99,141.35,394.2,0.48,199.0,99640.0
20180106:0700,29.64,45.35,741.4,681.83,166.05,392.85,0.55,258.0,99510.0
20180106:0800,30.43,42.45,646.55,632.66,132.75,395.55,1.1,264.0,99380.0
20180106:0900,30.5,42.45,596.15,622.35,147.7,390.55,1.72,258.0,99270.0
20180106:1000,30.24,43.95,435.65,587.07,97.85,390.55,2.28,252.0,99200.0
20180106:1100,29.05,50.05,214.9,386.79,65.4,385.7,2.76,245.0,99180.0
20180106:1200,27.43,58.9,33.1,104.33,15.7,380.45,2.41,240.0,99270.0
20180106:1300,25.87,67.05,0.0,-0.0,0.0,378.95,1.52,233.0,99360.0
20180106:1400,24.99,76.45,0.0,-0.0,0.0,379.3,0.69,177.0,99470.0
20180106:1500,24.54,76.35,0.0,-0.0,0.0,387.45,0.9,108.0,99550.0
20180106:1600,23.85,81.55,0.0,-0.0,0.0,383.75,0.9,81.0,99620.0
20180106:1700,23.5,81.5,0.0,-0.0,0.0,386.85,1.03,72.0,99620.0
20180106:1800,22.94,84.25,0.0,-0.0,0.0,385.9,1.1,71.0,99580.0
20180106:1900,22.77,84.25,0.0,-0.0,0.0,394.6,1.03,85.0,99580.0
20180106:2000,22.6,84.25,0.0,-0.0,0.0,394.6,1.03,89.0,99520.0
20180106:2100,22.09,84.15,0.0,-0.0,0.0,378.75,1.1,92.0,99490.0
20180106:2200,21.88,87.0,0.0,-0.0,0.0,381.25,1.1,108.0,99460.0
20180106:2300,21.83,87.0,0.0,-0.0,0.0,383.4,1.17,112.0,99470.0
20180107:0000,21.56,84.1,0.0,-0.0,0.0,374.3,1.31,107.0,99490.0
20180107:0100,21.12,86.95,0.0,-0.0,0.0,372.45,1.24,96.0,99560.0
20180107:0200,20.96,92.95,75.9,0.0,75.9,368.85,0.62,93.0,99640.0
20180107:0300,23.94,76.3,451.25,918.28,92.65,367.5,0.41,159.0,99720.0
20180107:0400,25.79,64.8,635.95,904.19,112.45,371.75,0.62,194.0,99760.0
20180107:0500,27.22,56.95,689.5,733.8,158.6,378.15,0.48,223.0,99720.0
20180107:0600,28.12,53.45,692.05,650.62,162.3,384.35,0.62,244.0,99660.0
20180107:0700,28.91,50.05,741.05,643.91,196.95,392.85,0.9,268.0,99560.0
20180107:0800,29.65,46.9,624.95,544.37,182.0,397.3,1.31,267.0,99430.0
20180107:0900,29.73,48.5,354.2,166.1,234.2,404.45,1.72,261.0,99310.0
20180107:1000,28.82,51.8,351.1,364.16,140.8,423.65,2.14,252.0,99280.0
20180107:1100,28.22,55.3,173.85,270.0,68.9,394.2,2.0,248.0,99280.0
20180107:1200,27.13,63.0,29.5,92.93,13.8,388.4,1.66,244.0,99350.0
20180107:1300,25.9,71.65,0.0,-0.0,0.0,392.65,1.1,246.0,99420.0
20180107:1400,24.92,81.7,0.0,-0.0,0.0,387.85,0.62,261.0,99510.0
20180107:1500,24.51,84.35,0.0,-0.0,0.0,392.1,0.62,9.0,99590.0
20180107:1600,24.25,81.65,0.0,-0.0,0.0,402.55,1.1,26.0,99650.0
20180107:1700,23.61,84.35,0.0,-0.0,0.0,398.3,1.1,29.0,99650.0
20180107:1800,22.96,90.05,0.0,-0.0,0.0,380.1,1.1,43.0,99590.0
20180107:1900,22.58,90.05,0.0,-0.0,0.0,386.45,0.9,96.0,99540.0
20180107:2000,22.39,93.05,0.0,-0.0,0.0,383.55,1.03,108.0,99480.0
20180107:2100,21.99,93.0,0.0,-0.0,0.0,380.45,1.24,126.0,99490.0
20180107:2200,21.92,93.0,0.0,-0.0,0.0,389.55,1.17,137.0,99460.0
20180107:2300,21.52,93.0,0.0,-0.0,0.0,377.4,1.24,132.0,99460.0
20180108:0000,21.29,93.0,0.0,-0.0,0.0,380.1,1.1,124.0,99500.0
20180108:0100,20.94,92.95,0.0,-0.0,0.0,371.7,1.1,109.0,99580.0
20180108:0200,20.97,96.15,70.45,0.0,70.45,376.0,0.69,89.0,99670.0
20180108:0300,23.54,81.5,425.6,837.17,99.2,371.75,0.34,108.0,99750.0
20180108:0400,25.42,69.25,576.7,792.87,117.8,373.1,0.07,144.0,99790.0
20180108:0500,26.72,60.8,771.95,893.78,125.05,380.65,0.21,286.0,99760.0
20180108:0600,28.56,51.65,764.85,798.35,114.2,384.35,0.41,295.0,99670.0
20180108:0700,29.16,46.9,747.2,650.78,196.5,381.65,0.55,240.0,99580.0
20180108:0800,29.77,46.9,670.95,584.45,194.45,390.75,1.1,242.0,99490.0
20180108:0900,29.87,46.9,552.5,561.73,145.6,396.35,1.52,238.0,99400.0
20180108:1000,29.6,46.9,386.2,473.58,111.7,398.65,1.72,233.0,99360.0
20180108:1100,28.74,50.05,213.55,360.69,72.55,394.4,1.86,232.0,99340.0
20180108:1200,27.53,56.95,32.1,91.46,16.45,391.5,1.52,233.0,99380.0
20180108:1300,26.09,67.05,0.0,-0.0,0.0,387.85,1.1,241.0,99450.0
20180108:1400,25.07,76.45,0.0,-0.0,0.0,379.3,0.76,270.0,99550.0
20180108:1500,24.81,73.95,0.0,-0.0,0.0,376.0,0.34,299.0,99660.0
20180108:1600,24.51,76.35,0.0,-0.0,0.0,371.2,0.21,22.0,99700.0
20180108:1700,23.41,84.25,0.0,-0.0,0.0,377.4,0.69,56.0,99710.0
20180108:1800,22.52,90.0,0.0,-0.0,0.0,371.75,1.03,63.0,99690.0
20180108:1900,21.92,89.95,0.0,-0.0,0.0,364.4,1.1,82.0,99640.0
20180108:2000,21.91,87.0,0.0,-0.0,0.0,361.9,1.45,84.0,99610.0
20180108:2100,21.27,86.95,0.0,-0.0,0.0,360.15,1.45,86.0,99580.0
20180108:2200,20.53,92.95,0.0,-0.0,0.0,357.05,1.45,91.0,99560.0
20180108:2300,20.09,89.85,0.0,-0.0,0.0,357.05,1.45,95.0,99580.0
20180109:0000,19.86,89.85,0.0,-0.0,0.0,354.35,1.45,99.0,99630.0
20180109:0100,19.46,89.8,0.0,-0.0,0.0,353.3,1.45,96.0,99720.0
20180109:0200,19.86,86.85,67.05,0.0,67.05,356.85,1.24,92.0,99810.0
20180109:0300,23.2,71.25,451.05,920.2,92.8,361.7,0.83,100.0,99910.0
20180109:0400,25.57,64.7,621.4,875.47,114.8,362.3,0.55,131.0,99950.0
20180109:0500,27.16,55.05,796.0,934.57,119.25,371.0,0.28,202.0,99930.0
20180109:0600,28.88,48.4,883.45,935.19,120.5,379.1,0.41,265.0,99830.0
20180109:0700,30.1,45.35,870.45,868.09,134.75,379.7,0.83,264.0,99700.0
20180109:0800,30.83,41.15,731.7,731.91,133.75,385.7,1.38,257.0,99580.0
20180109:0900,30.78,41.15,532.95,481.32,183.35,401.55,2.14,253.0,99490.0
20180109:1000,29.9,45.35,408.85,520.56,106.0,406.0,2.62,254.0,99430.0
20180109:1100,28.72,50.05,218.35,383.57,67.55,403.1,2.62,257.0,99430.0
20180109:1200,27.45,56.95,35.0,103.3,17.1,393.05,2.0,262.0,99500.0
20180109:1300,25.99,64.8,0.0,-0.0,0.0,389.75,1.1,267.0,99600.0
20180109:1400,25.01,79.05,0.0,-0.0,0.0,382.6,0.48,283.0,99700.0
20180109:1500,25.02,73.95,0.0,-0.0,0.0,390.15,0.34,45.0,99800.0
20180109:1600,24.12,81.65,0.0,-0.0,0.0,393.85,0.76,49.0,99840.0
20180109:1700,23.97,78.9,0.0,-0.0,0.0,395.0,1.1,43.0,99830.0
20180109:1800,23.47,81.5,0.0,-0.0,0.0,394.2,1.24,57.0,99820.0
20180109:1900,23.18,84.25,0.0,-0.0,0.0,381.45,0.69,49.0,99760.0
20180109:2000,22.88,84.25,0.0,-0.0,0.0,393.65,0.69,65.0,99710.0
20180109:2100,22.37,87.05,0.0,-0.0,0.0,394.6,0.97,74.0,99660.0
20180109:2200,22.23,87.05,0.0,-0.0,0.0,401.75,0.76,71.0,99630.0
20180109:2300,22.59,81.45,0.0,-0.0,0.0,407.4,1.03,91.0,99630.0
20180110:0000,22.37,84.15,0.0,-0.0,0.0,407.75,1.24,105.0,99670.0
20180110:0100,22.21,84.15,0.0,-0.0,0.0,399.55,1.31,107.0,99760.0
20180110:0200,22.68,81.45,59.25,0.0,59.25,414.55,0.9,102.0,99830.0
20180110:0300,24.56,76.35,343.6,602.99,109.15,397.5,0.76,123.0,99890.0
20180110:0400,26.5,64.95,532.3,678.02,140.0,392.3,0.76,162.0,99930.0
20180110:0500,28.06,57.05,629.2,656.61,153.45,397.1,0.62,186.0,99910.0
20180110:0600,29.6,51.9,772.15,737.46,169.85,403.9,0.55,171.0,99810.0
20180110:0700,31.72,42.85,705.9,571.02,221.2,412.0,0.41,127.0,99670.0
20180110:0800,32.42,40.15,596.3,447.12,230.25,426.35,0.76,161.0,99540.0
20180110:0900,32.63,38.8,547.65,547.47,148.9,426.75,1.24,177.0,99430.0
20180110:1000,32.45,38.8,367.7,449.17,105.4,418.2,1.72,197.0,99370.0
20180110:1100,31.57,44.2,165.05,240.9,69.8,416.45,1.86,218.0,99410.0
20180110:1200,29.85,53.7,28.15,68.96,16.05,426.75,1.79,239.0,99500.0
20180110:1300,28.27,61.1,0.0,-0.0,0.0,418.6,2.28,257.0,99630.0
20180110:1400,27.14,65.1,0.0,-0.0,0.0,413.95,2.0,265.0,99740.0
20180110:1500,26.29,71.75,0.0,-0.0,0.0,414.35,1.45,258.0,99860.0
20180110:1600,25.09,84.4,0.0,-0.0,0.0,407.2,0.28,201.0,99920.0
20180110:1700,24.47,84.35,0.0,-0.0,0.0,401.2,0.83,137.0,99940.0
20180110:1800,23.95,87.15,0.0,-0.0,0.0,397.7,0.76,94.0,99910.0
20180110:1900,23.7,87.15,0.0,-0.0,0.0,401.0,0.48,115.0,99900.0
20180110:2000,23.24,90.05,0.0,-0.0,0.0,396.15,0.55,99.0,99820.0
20180110:2100,23.04,90.05,0.0,-0.0,0.0,392.45,0.83,83.0,99770.0
20180110:2200,22.58,90.05,0.0,-0.0,0.0,384.95,1.03,87.0,99740.0
20180110:2300,22.24,90.0,0.0,-0.0,0.0,381.05,1.1,88.0,99740.0
20180111:0000,21.79,93.0,0.0,-0.0,0.0,380.85,1.17,88.0,99760.0
20180111:0100,21.48,96.15,0.0,-0.0,0.0,379.05,1.24,89.0,99850.0
20180111:0200,21.79,93.0,73.7,0.0,73.7,379.3,0.83,90.0,99900.0
20180111:0300,24.17,84.35,414.25,764.47,117.35,384.15,0.55,100.0,99970.0
20180111:0400,26.44,69.4,627.4,874.69,121.3,387.65,0.48,96.0,99990.0
20180111:0500,28.43,59.1,783.35,899.2,131.4,391.3,0.0,66.0,99940.0
20180111:0600,30.4,52.05,846.35,864.34,139.6,398.1,0.34,294.0,99840.0
20180111:0700,31.77,45.85,826.0,820.08,128.75,403.3,0.21,290.0,99730.0
20180111:0800,32.48,42.95,654.9,561.21,194.45,411.85,0.48,258.0,99580.0
20180111:0900,32.54,42.95,514.95,463.1,176.7,422.85,1.03,243.0,99450.0
20180111:1000,32.07,44.3,343.45,353.81,136.05,426.9,1.66,235.0,99380.0
20180111:1100,31.19,48.9,167.55,211.36,83.5,424.0,2.21,236.0,99400.0
20180111:1200,29.37,57.4,30.5,66.99,18.6,418.0,2.21,242.0,99450.0
20180111:1300,27.8,65.2,0.0,-0.0,0.0,418.2,1.72,250.0,99550.0
20180111:1400,26.74,71.85,0.0,-0.0,0.0,410.65,0.97,270.0,99670.0
20180111:1500,26.16,79.2,0.0,-0.0,0.0,416.45,0.28,300.0,99770.0
20180111:1600,25.77,79.15,0.0,-0.0,0.0,401.55,0.14,104.0,99820.0
20180111:1700,25.01,87.25,0.0,-0.0,0.0,401.2,0.55,69.0,99830.0
20180111:1800,24.46,90.1,0.0,-0.0,0.0,399.65,0.9,55.0,99780.0
20180111:1900,24.28,90.1,0.0,-0.0,0.0,399.05,0.69,71.0,99760.0
20180111:2000,23.89,93.1,0.0,-0.0,0.0,399.05,0.9,75.0,99720.0
20180111:2100,23.62,93.1,0.0,-0.0,0.0,396.75,1.03,79.0,99670.0
20180111:2200,23.39,93.05,0.0,-0.0,0.0,397.5,1.1,85.0,99630.0
20180111:2300,23.15,93.05,0.0,-0.0,0.0,394.2,1.1,92.0,99630.0
20180112:0000,22.93,96.15,0.0,-0.0,0.0,395.95,1.03,94.0,99670.0
20180112:0100,22.79,93.05,0.0,-0.0,0.0,395.3,1.03,99.0,99730.0
20180112:0200,22.89,96.15,69.45,0.0,69.45,390.15,0.76,97.0,99790.0
20180112:0300,25.81,76.6,415.1,806.84,102.05,392.65,0.14,148.0,99870.0
20180112:0400,27.83,65.2,590.7,792.49,132.1,397.7,0.14,189.0,99890.0
20180112:0500,29.42,57.4,756.0,862.34,130.3,402.75,0.28,203.0,99870.0
20180112:0600,30.98,52.15,627.5,551.73,175.8,413.0,0.34,220.0,99800.0
20180112:0700,30.95,52.15,774.95,718.17,163.3,418.0,0.69,232.0,99720.0
20180112:0800,31.66,49.0,539.9,497.16,131.1,418.6,1.1,241.0,99600.0
20180112:0900,30.76,53.9,492.7,506.91,121.4,424.8,1.1,246.0,99510.0
20180112:1000,30.41,55.6,304.75,315.08,119.35,428.65,1.17,241.0,99470.0
20180112:1100,29.64,57.4,128.6,122.77,79.5,427.3,1.31,227.0,99430.0
20180112:1200,28.64,63.3,27.55,47.26,19.05,419.55,1.24,224.0,99510.0
20180112:1300,27.6,69.6,0.0,-0.0,0.0,418.0,1.03,225.0,99580.0
20180112:1400,26.83,74.25,0.0,-0.0,0.0,416.85,0.9,214.0,99650.0
20180112:1500,26.37,76.65,0.0,-0.0,0.0,415.7,1.03,208.0,99740.0
20180112:1600,25.96,81.8,0.0,-0.0,0.0,415.1,0.97,210.0,99800.0
20180112:1700,25.35,84.45,0.0,-0.0,0.0,406.6,0.55,216.0,99830.0
20180112:1800,25.64,81.8,0.0,-0.0,0.0,413.55,0.14,175.0,99800.0
20180112:1900,24.98,87.25,0.0,-0.0,0.0,413.0,0.41,67.0,99760.0
20180112:2000,24.53,90.1,0.0,-0.0,0.0,410.3,0.48,104.0,99700.0
20180112:2100,23.99,93.1,0.0,-0.0,0.0,405.65,0.55,96.0,99640.0
20180112:2200,23.41,96.2,0.0,-0.0,0.0,399.45,0.69,87.0,99560.0
20180112:2300,23.31,93.05,0.0,-0.0,0.0,391.9,1.03,75.0,99550.0
20180113:0000,22.94,96.15,0.0,-0.0,0.0,389.55,1.17,86.0,99570.0
20180113:0100,22.6,93.05,0.0,-0.0,0.0,387.95,1.24,96.0,99640.0
20180113:0200,22.81,93.05,93.65,0.0,93.65,382.6,0.97,98.0,99700.0
20180113:0300,24.97,84.4,431.45,824.26,111.9,386.65,0.55,112.0,99790.0
20180113:0400,27.12,69.6,618.6,840.24,132.25,388.2,0.14,192.0,99810.0
20180113:0500,29.15,59.35,663.6,710.41,147.7,393.25,0.28,258.0,99760.0
20180113:0600,30.57,53.8,774.95,624.13,263.3,407.4,0.28,251.0,99680.0
20180113:0700,31.24,50.55,733.8,577.95,240.7,411.85,0.55,250.0,99620.0
20180113:0800,31.89,49.0,632.2,431.18,276.85,416.1,0.9,245.0,99510.0
20180113:0900,31.8,49.0,475.4,337.19,227.7,422.65,1.38,235.0,99370.0
20180113:1000,31.36,52.25,254.45,108.77,190.2,421.3,1.93,227.0,99310.0
20180113:1100,29.92,59.35,123.35,59.67,99.35,428.1,2.34,226.0,99290.0
20180113:1200,28.58,65.3,27.9,34.34,21.65,421.7,1.86,226.0,99360.0
20180113:1300,27.37,71.9,0.0,-0.0,0.0,411.25,1.1,244.0,99430.0
20180113:1400,26.63,76.7,0.0,-0.0,0.0,410.65,0.9,282.0,99530.0
20180113:1500,25.92,81.8,0.0,-0.0,0.0,401.0,0.69,291.0,99640.0
20180113:1600,26.02,81.8,0.0,-0.0,0.0,396.15,0.21,279.0,99720.0
20180113:1700,25.29,84.45,0.0,-0.0,0.0,389.4,0.41,39.0,99760.0
