Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200103:1530,0.0,0.0,0.0,0.0,26.4,0.9,0.0
20200103:1630,0.0,0.0,0.0,0.0,25.96,0.62,0.0
20200103:1730,0.0,0.0,0.0,0.0,25.91,0.41,0.0
20200103:1830,0.0,0.0,0.0,0.0,25.47,0.97,0.0
20200103:1930,0.0,0.0,0.0,0.0,25.17,0.62,0.0
20200103:2030,0.0,0.0,0.0,0.0,25.43,0.41,0.0
20200103:2130,0.0,0.0,0.0,0.0,24.87,0.55,0.0
20200103:2230,0.0,0.0,0.0,0.0,24.58,0.62,0.0
20200103:2330,0.0,0.0,0.0,0.0,24.19,0.69,0.0
20200104:0030,0.0,0.0,0.0,0.0,23.98,1.03,0.0
20200104:0130,0.0,14.24,0.54,3.32,23.85,1.17,0.0
20200104:0230,222.73,97.89,6.01,16.65,23.8,0.83,0.0
20200104:0330,450.67,128.95,12.64,29.41,26.37,0.41,0.0
20200104:0430,634.95,138.26,18.35,41.12,28.31,0.14,0.0
20200104:0530,625.46,154.61,19.54,50.8,29.81,0.28,0.0
20200104:0630,632.2,172.98,20.63,56.59,30.86,0.55,0.0
20200104:0730,601.58,172.13,19.86,56.42,31.54,1.03,0.0
20200104:0830,590.98,163.37,18.94,50.37,31.87,1.45,0.0
20200104:0930,442.2,144.99,14.23,40.56,31.83,1.86,0.0
20200104:1030,313.32,115.5,9.6,28.78,31.25,2.14,0.0
20200104:1130,134.23,71.43,4.08,15.98,30.39,2.21,0.0
20200104:1230,68.21,15.12,0.66,2.62,29.05,1.86,0.0
20200104:1330,0.0,0.0,0.0,0.0,27.9,1.38,0.0
20200104:1430,0.0,0.0,0.0,0.0,27.15,0.97,0.0
20200104:1530,0.0,0.0,0.0,0.0,26.59,0.9,0.0
20200104:1630,0.0,0.0,0.0,0.0,25.74,0.48,0.0
20200104:1730,0.0,0.0,0.0,0.0,25.55,0.69,0.0
20200104:1830,0.0,0.0,0.0,0.0,25.06,0.97,0.0
20200104:1930,0.0,0.0,0.0,0.0,24.92,0.69,0.0
20200104:2030,0.0,0.0,0.0,0.0,24.8,0.9,0.0
20200104:2130,0.0,0.0,0.0,0.0,24.35,0.83,0.0
20200104:2230,0.0,0.0,0.0,0.0,24.3,0.97,0.0
20200104:2330,0.0,0.0,0.0,0.0,24.24,1.1,0.0
20200105:0030,0.0,0.0,0.0,0.0,24.13,1.1,0.0
20200105:0130,0.0,12.72,0.48,3.24,23.8,1.24,0.0
20200105:0230,241.49,84.82,5.95,16.59,24.0,0.9,0.0
20200105:0330,351.65,124.77,10.66,29.37,26.14,0.55,0.0
20200105:0430,569.61,133.48,16.8,41.11,27.91,0.55,0.0
20200105:0530,704.73,148.35,21.27,50.82,29.42,0.69,0.0
20200105:0630,580.28,161.07,19.09,56.67,30.82,0.76,0.0
20200105:0730,730.81,150.23,22.42,56.55,30.53,0.62,0.0
20200105:0830,420.44,151.85,14.7,50.52,31.36,0.76,0.0
20200105:0930,404.2,139.82,13.3,40.71,30.72,0.83,0.0
20200105:1030,288.21,110.52,9.02,28.92,30.36,0.55,0.0
20200105:1130,149.31,74.43,4.38,16.11,29.99,0.41,0.0
20200105:1230,97.0,19.4,0.86,2.74,29.17,0.76,0.0
20200105:1330,0.0,0.0,0.0,0.0,27.89,0.9,0.0
20200105:1430,0.0,0.0,0.0,0.0,26.94,0.76,0.0
20200105:1530,0.0,0.0,0.0,0.0,26.32,0.62,0.0
20200105:1630,0.0,0.0,0.0,0.0,26.37,0.34,0.0
20200105:1730,0.0,0.0,0.0,0.0,26.3,0.21,0.0
20200105:1830,0.0,0.0,0.0,0.0,25.27,0.69,0.0
20200105:1930,0.0,0.0,0.0,0.0,25.8,0.28,0.0
20200105:2030,0.0,0.0,0.0,0.0,25.3,0.48,0.0
20200105:2130,0.0,0.0,0.0,0.0,24.17,0.97,0.0
20200105:2230,0.0,0.0,0.0,0.0,23.85,0.97,0.0
20200105:2330,0.0,0.0,0.0,0.0,23.76,0.69,0.0
20200106:0030,0.0,0.0,0.0,0.0,24.25,0.34,0.0
20200106:0130,0.0,13.38,0.51,3.17,24.15,0.34,0.0
20200106:0230,236.79,94.15,6.11,16.54,23.78,0.55,0.0
20200106:0330,436.02,127.01,12.34,29.34,26.12,0.14,0.0
20200106:0430,568.08,149.08,17.19,41.11,27.86,0.21,0.0
20200106:0530,754.86,135.38,22.16,50.86,29.57,0.48,0.0
20200106:0630,831.47,141.05,24.68,56.76,31.0,0.69,0.0
20200106:0730,824.24,153.45,24.82,56.69,32.4,0.62,0.0
20200106:0830,695.85,139.95,20.86,50.67,33.32,0.69,0.0
20200106:0930,646.17,138.53,18.63,40.86,33.65,0.69,0.0
20200106:1030,448.96,114.14,12.23,29.06,33.81,0.83,0.0
20200106:1130,250.41,87.32,6.08,16.24,33.03,1.38,0.0
20200106:1230,109.2,22.43,0.98,2.86,31.16,1.72,0.0
20200106:1330,0.0,0.0,0.0,0.0,29.32,1.66,0.0
20200106:1430,0.0,0.0,0.0,0.0,28.07,1.24,0.0
20200106:1530,0.0,0.0,0.0,0.0,26.83,0.69,0.0
20200106:1630,0.0,0.0,0.0,0.0,26.47,0.55,0.0
20200106:1730,0.0,0.0,0.0,0.0,26.03,0.83,0.0
20200106:1830,0.0,0.0,0.0,0.0,25.44,0.9,0.0
20200106:1930,0.0,0.0,0.0,0.0,25.02,0.83,0.0
20200106:2030,0.0,0.0,0.0,0.0,24.59,0.9,0.0
20200106:2130,0.0,0.0,0.0,0.0,24.14,0.97,0.0
20200106:2230,0.0,0.0,0.0,0.0,23.78,1.03,0.0
20200106:2330,0.0,0.0,0.0,0.0,23.41,1.03,0.0
20200107:0030,0.0,0.0,0.0,0.0,23.22,1.1,0.0
20200107:0130,0.0,13.46,0.51,3.1,22.95,1.31,0.0
20200107:0230,227.73,97.71,6.08,16.48,23.42,1.03,0.0
20200107:0330,448.2,111.98,12.22,29.31,25.73,1.1,0.0
20200107:0430,590.6,137.93,17.43,41.1,27.57,0.69,0.0
20200107:0530,727.23,142.14,21.71,50.9,29.25,0.21,0.0
20200107:0630,809.2,149.75,24.4,56.86,30.81,0.21,0.0
20200107:0730,746.88,173.49,23.51,56.83,32.38,0.21,0.0
20200107:0830,601.44,187.88,19.95,50.83,33.13,0.76,0.0
20200107:0930,357.04,153.26,12.72,41.01,33.3,1.31,0.0
20200107:1030,293.04,136.44,9.88,29.2,32.44,1.72,0.0
20200107:1130,182.46,74.55,4.87,16.37,31.64,1.79,0.0
20200107:1230,81.49,17.23,0.8,2.98,30.16,1.59,0.0
20200107:1330,0.0,0.0,0.0,0.0,28.8,1.31,0.0
20200107:1430,0.0,0.0,0.0,0.0,27.46,0.9,0.0
20200107:1530,0.0,0.0,0.0,0.0,27.39,0.41,0.0
20200107:1630,0.0,0.0,0.0,0.0,26.26,0.69,0.0
20200107:1730,0.0,0.0,0.0,0.0,25.81,1.03,0.0
20200107:1830,0.0,0.0,0.0,0.0,24.89,0.9,0.0
20200107:1930,0.0,0.0,0.0,0.0,25.47,0.41,0.0
20200107:2030,0.0,0.0,0.0,0.0,24.89,0.55,0.0
20200107:2130,0.0,0.0,0.0,0.0,23.98,0.76,0.0
20200107:2230,0.0,0.0,0.0,0.0,23.39,1.03,0.0
20200107:2330,0.0,0.0,0.0,0.0,23.12,1.1,0.0
20200108:0030,0.0,0.0,0.0,0.0,23.14,1.24,0.0
20200108:0130,0.0,11.56,0.44,3.04,22.98,1.31,0.0
20200108:0230,130.82,77.54,4.27,16.43,23.21,1.31,0.0
20200108:0330,402.42,106.99,11.22,29.28,25.2,1.24,0.0
20200108:0430,612.46,113.28,17.32,41.11,27.16,1.03,0.0
20200108:0530,649.05,156.62,20.27,50.95,28.74,0.69,0.0
20200108:0630,740.08,181.25,23.59,56.96,30.07,0.69,0.0
20200108:0730,738.88,196.36,23.96,56.98,31.16,0.9,0.0
20200108:0830,584.28,184.62,19.5,50.99,31.93,1.38,0.0
20200108:0930,420.45,156.62,14.21,41.16,32.05,1.66,0.0
20200108:1030,446.32,107.55,12.1,29.34,31.5,2.14,0.0
20200108:1130,255.46,80.98,6.08,16.5,30.7,2.34,0.0
20200108:1230,105.88,22.41,1.01,3.11,29.29,1.93,0.0
20200108:1330,0.0,0.0,0.0,0.0,27.78,1.31,0.0
20200108:1430,0.0,0.0,0.0,0.0,26.79,1.03,0.0
20200108:1530,0.0,0.0,0.0,0.0,26.0,0.69,0.0
20200108:1630,0.0,0.0,0.0,0.0,26.28,0.21,0.0
20200108:1730,0.0,0.0,0.0,0.0,25.84,0.14,0.0
20200108:1830,0.0,0.0,0.0,0.0,24.9,0.62,0.0
20200108:1930,0.0,0.0,0.0,0.0,24.74,0.62,0.0
20200108:2030,0.0,0.0,0.0,0.0,23.96,0.9,0.0
20200108:2130,0.0,0.0,0.0,0.0,23.66,1.17,0.0
20200108:2230,0.0,0.0,0.0,0.0,23.57,1.38,0.0
20200108:2330,0.0,0.0,0.0,0.0,23.03,1.38,0.0
20200109:0030,0.0,0.0,0.0,0.0,22.77,1.38,0.0
20200109:0130,0.0,12.33,0.47,2.97,22.37,1.31,0.0
20200109:0230,235.06,91.42,6.03,16.39,22.55,1.03,0.0
20200109:0330,452.59,113.39,12.38,29.26,25.38,0.97,0.0
20200109:0430,677.55,130.05,19.25,41.12,27.23,0.76,0.0
20200109:0530,742.6,168.0,22.83,51.0,29.14,0.48,0.0
20200109:0630,769.15,139.85,23.24,57.08,30.67,0.41,0.0
20200109:0730,677.87,208.3,22.86,57.14,31.53,0.9,0.0
20200109:0830,771.93,141.34,22.86,51.16,32.23,1.38,0.0
20200109:0930,635.33,130.51,18.33,41.32,32.55,1.79,0.0
20200109:1030,448.05,119.72,12.48,29.49,32.12,2.28,0.0
20200109:1130,283.15,83.67,6.57,16.63,30.98,2.62,0.0
20200109:1230,114.08,23.91,1.09,3.23,29.29,2.21,0.0
20200109:1330,0.0,0.0,0.0,0.0,27.57,1.31,0.0
20200109:1430,0.0,0.0,0.0,0.0,26.39,0.62,0.0
20200109:1530,0.0,0.0,0.0,0.0,26.54,0.14,0.0
20200109:1630,0.0,0.0,0.0,0.0,26.09,0.28,0.0
20200109:1730,0.0,0.0,0.0,0.0,25.57,0.34,0.0
20200109:1830,0.0,0.0,0.0,0.0,24.65,0.69,0.0
20200109:1930,0.0,0.0,0.0,0.0,24.02,0.9,0.0
20200109:2030,0.0,0.0,0.0,0.0,23.54,1.24,0.0
20200109:2130,0.0,0.0,0.0,0.0,23.1,1.31,0.0
20200109:2230,0.0,0.0,0.0,0.0,22.69,1.31,0.0
20200109:2330,0.0,0.0,0.0,0.0,22.12,1.38,0.0
20200110:0030,0.0,0.0,0.0,0.0,21.86,1.38,0.0
20200110:0130,0.0,13.61,0.51,2.91,21.65,1.38,0.0
20200110:0230,268.96,87.91,6.43,16.35,21.93,1.03,0.0
20200110:0330,471.03,104.32,12.55,29.24,25.15,0.76,0.0
20200110:0430,625.83,133.57,18.2,41.13,26.98,0.41,0.0
20200110:0530,771.4,145.72,22.99,51.06,28.7,0.34,0.0
20200110:0630,758.43,178.1,24.04,57.19,30.4,0.48,0.0
20200110:0730,821.39,134.99,24.46,57.3,31.37,0.76,0.0
20200110:0830,708.22,151.02,21.63,51.33,32.2,1.31,0.0
20200110:0930,563.12,146.08,17.16,41.48,32.44,1.79,0.0
20200110:1030,425.32,123.79,12.19,29.63,31.77,2.41,0.0
20200110:1130,267.93,90.93,6.56,16.77,30.82,2.69,0.0
20200110:1230,113.52,24.36,1.12,3.35,29.12,2.34,0.0
20200110:1330,0.0,0.0,0.0,0.0,27.45,1.52,0.0
20200110:1430,0.0,0.0,0.0,0.0,26.35,0.83,0.0
20200110:1530,0.0,0.0,0.0,0.0,25.5,0.62,0.0
20200110:1630,0.0,0.0,0.0,0.0,25.11,0.83,0.0
20200110:1730,0.0,0.0,0.0,0.0,24.51,1.03,0.0
20200110:1830,0.0,0.0,0.0,0.0,24.04,1.38,0.0
20200110:1930,0.0,0.0,0.0,0.0,23.38,1.1,0.0
20200110:2030,0.0,0.0,0.0,0.0,22.98,1.24,0.0
20200110:2130,0.0,0.0,0.0,0.0,22.43,1.24,0.0
20200110:2230,0.0,0.0,0.0,0.0,21.96,1.31,0.0
20200110:2330,0.0,0.0,0.0,0.0,21.4,1.31,0.0
20200111:0030,0.0,0.0,0.0,0.0,20.83,1.38,0.0
20200111:0130,0.0,13.77,0.52,2.86,20.32,1.45,0.0
20200111:0230,287.58,92.5,6.81,16.31,20.49,1.31,0.0
20200111:0330,509.21,119.63,13.71,29.22,23.51,1.17,0.0
20200111:0430,704.71,126.18,19.85,41.15,26.29,0.9,0.0
20200111:0530,821.52,139.32,24.08,51.13,28.27,0.28,0.0
20200111:0630,856.97,164.95,26.17,57.32,29.96,0.21,0.0
20200111:0730,857.5,165.12,26.2,57.47,31.4,0.62,0.0
20200111:0830,806.84,150.05,24.04,51.51,32.28,0.9,0.0
20200111:0930,682.1,138.58,19.71,41.65,32.66,1.17,0.0
20200111:1030,512.73,118.43,13.84,29.78,32.58,1.24,0.0
20200111:1130,300.1,90.12,7.05,16.9,31.9,1.59,0.0
20200111:1230,119.53,26.27,1.21,3.47,30.24,1.66,0.0
20200111:1330,0.0,0.0,0.0,0.0,28.3,1.24,0.0
20200111:1430,0.0,0.0,0.0,0.0,27.01,0.55,0.0
20200111:1530,0.0,0.0,0.0,0.0,25.7,0.21,0.0
20200111:1630,0.0,0.0,0.0,0.0,24.3,0.28,0.0
20200111:1730,0.0,0.0,0.0,0.0,23.64,1.1,0.0
20200111:1830,0.0,0.0,0.0,0.0,22.78,1.52,0.0
20200111:1930,0.0,0.0,0.0,0.0,22.26,1.45,0.0
20200111:2030,0.0,0.0,0.0,0.0,21.61,1.45,0.0
20200111:2130,0.0,0.0,0.0,0.0,20.98,1.45,0.0
20200111:2230,0.0,0.0,0.0,0.0,20.47,1.52,0.0
20200111:2330,0.0,0.0,0.0,0.0,20.0,1.52,0.0
20200112:0030,0.0,0.0,0.0,0.0,19.57,1.52,0.0
20200112:0130,0.0,13.27,0.5,2.8,19.26,1.52,0.0
20200112:0230,310.63,88.66,7.06,16.27,19.45,1.38,0.0
20200112:0330,535.69,110.48,14.05,29.21,22.83,1.03,0.0
20200112:0430,696.7,128.1,19.76,41.17,26.46,1.03,0.0
20200112:0530,858.72,126.02,24.7,51.2,28.9,0.83,0.0
20200112:0630,917.58,126.72,26.75,57.45,30.93,0.28,0.0
20200112:0730,918.47,126.1,26.77,57.64,32.08,0.69,0.0
20200112:0830,844.19,125.05,24.37,51.69,32.89,1.38,0.0
20200112:0930,709.69,120.35,19.94,41.81,33.0,2.0,0.0
20200112:1030,524.92,109.6,13.93,29.93,32.35,2.76,0.0
20200112:1130,305.53,85.03,7.07,17.03,30.86,3.17,0.0
20200112:1230,118.52,25.83,1.22,3.59,28.82,2.69,0.0
20200112:1330,0.0,0.0,0.0,0.0,26.99,1.72,0.0
20200112:1430,0.0,0.0,0.0,0.0,25.79,1.1,0.0
20200112:1530,0.0,0.0,0.0,0.0,24.68,0.69,0.0
20200112:1630,0.0,0.0,0.0,0.0,24.34,0.76,0.0
20200112:1730,0.0,0.0,0.0,0.0,24.03,1.24,0.0
20200112:1830,0.0,0.0,0.0,0.0,23.43,1.38,0.0
20200112:1930,0.0,0.0,0.0,0.0,22.4,0.97,0.0
20200112:2030,0.0,0.0,0.0,0.0,21.92,1.17,0.0
20200112:2130,0.0,0.0,0.0,0.0,21.41,1.17,0.0
20200112:2230,0.0,0.0,0.0,0.0,21.11,1.31,0.0
20200112:2330,0.0,0.0,0.0,0.0,21.03,1.45,0.0
20200113:0030,0.0,0.0,0.0,0.0,20.43,1.52,0.0
20200113:0130,0.0,13.34,0.5,2.75,19.98,1.52,0.0
20200113:0230,292.37,89.32,6.83,16.24,20.23,1.1,0.0
20200113:0330,510.68,112.75,13.63,29.21,24.2,0.76,0.0
20200113:0430,673.01,127.46,19.24,41.2,26.73,0.55,0.0
20200113:0530,843.66,121.81,24.28,51.28,28.75,0.28,0.0
20200113:0630,899.41,128.79,26.41,57.59,30.44,0.41,0.0
20200113:0730,885.53,133.37,26.2,57.83,31.82,0.97,0.0
20200113:0830,776.17,144.09,23.26,51.87,32.57,1.38,0.0
20200113:0930,655.41,134.74,19.12,41.98,32.79,1.79,0.0
20200113:1030,521.07,109.71,13.92,30.09,32.4,2.34,0.0
20200113:1130,263.29,95.84,6.74,17.17,31.19,2.69,0.0
20200113:1230,86.93,27.25,1.15,3.71,29.25,2.55,0.0
20200113:1330,0.0,0.0,0.0,0.0,27.32,1.79,0.0
20200113:1430,0.0,0.0,0.0,0.0,26.2,0.97,0.0
20200113:1530,0.0,0.0,0.0,0.0,25.83,0.21,0.0
20200113:1630,0.0,0.0,0.0,0.0,24.99,0.76,0.0
20200113:1730,0.0,0.0,0.0,0.0,24.34,1.1,0.0
20200113:1830,0.0,0.0,0.0,0.0,23.86,1.1,0.0
20200113:1930,0.0,0.0,0.0,0.0,23.35,0.9,0.0
20200113:2030,0.0,0.0,0.0,0.0,23.05,1.03,0.0
20200113:2130,0.0,0.0,0.0,0.0,22.67,1.17,0.0
20200113:2230,0.0,0.0,0.0,0.0,22.44,1.24,0.0
20200113:2330,0.0,0.0,0.0,0.0,22.15,1.31,0.0
20200114:0030,0.0,0.0,0.0,0.0,21.59,1.24,0.0
20200114:0130,0.0,12.76,0.48,2.7,21.16,1.31,0.0
20200114:0230,254.08,87.21,6.25,16.21,21.23,0.9,0.0
20200114:0330,473.43,119.37,13.08,29.21,25.0,0.76,0.0
20200114:0430,646.64,137.72,18.95,41.23,27.01,0.48,0.0
20200114:0530,798.74,138.15,23.66,51.36,28.76,0.48,0.0
20200114:0630,837.07,143.97,25.3,57.74,30.31,0.83,0.0
20200114:0730,839.74,148.42,25.51,58.01,31.54,1.03,0.0
20200114:0830,789.34,137.8,23.49,52.06,32.38,1.38,0.0
20200114:0930,656.2,131.0,19.11,42.16,32.7,1.79,0.0
20200114:1030,505.04,113.03,13.73,30.24,32.37,2.21,0.0
20200114:1130,288.89,88.75,7.0,17.3,31.2,2.62,0.0
20200114:1230,108.32,26.12,1.23,3.83,29.36,2.41,0.0
20200114:1330,0.0,0.0,0.0,0.0,27.45,1.52,0.0
20200114:1430,0.0,0.0,0.0,0.0,26.32,0.76,0.0
20200114:1530,0.0,0.0,0.0,0.0,25.85,0.21,0.0
20200114:1630,0.0,0.0,0.0,0.0,24.88,0.34,0.0
20200114:1730,0.0,0.0,0.0,0.0,24.85,0.34,0.0
20200114:1830,0.0,0.0,0.0,0.0,24.02,0.69,0.0
20200114:1930,0.0,0.0,0.0,0.0,23.6,0.62,0.0
20200114:2030,0.0,0.0,0.0,0.0,23.05,0.83,0.0
20200114:2130,0.0,0.0,0.0,0.0,22.67,1.03,0.0
20200114:2230,0.0,0.0,0.0,0.0,22.73,1.1,0.0
20200114:2330,0.0,0.0,0.0,0.0,22.54,1.24,0.0
20200115:0030,0.0,0.0,0.0,0.0,22.35,1.17,0.0
20200115:0130,0.0,11.56,0.44,2.66,22.22,1.17,0.0
20200115:0230,157.21,91.15,5.03,16.19,22.7,0.97,0.0
20200115:0330,325.48,141.4,10.78,29.21,24.76,1.03,0.0
20200115:0430,520.24,145.33,16.32,41.27,26.44,0.76,0.0
20200115:0530,695.5,182.96,22.39,51.45,27.78,0.48,0.0
20200115:0630,647.93,170.84,21.38,57.89,29.9,0.62,0.0
20200115:0730,538.81,219.51,20.1,58.21,30.51,1.24,0.0
20200115:0830,613.92,207.9,21.17,52.26,31.1,1.66,0.0
20200115:0930,621.18,143.48,18.69,42.33,31.52,1.93,0.0
20200115:1030,518.37,109.08,13.97,30.39,31.37,2.14,0.0
20200115:1130,300.06,85.64,7.15,17.44,30.57,2.34,0.0
20200115:1230,113.18,26.82,1.29,3.95,29.02,2.21,0.0
20200115:1330,0.0,0.0,0.0,0.0,27.18,1.59,0.0
20200115:1430,0.0,0.0,0.0,0.0,26.05,1.03,0.0
20200115:1530,0.0,0.0,0.0,0.0,25.66,0.28,0.0
20200115:1630,0.0,0.0,0.0,0.0,24.69,0.62,0.0
20200115:1730,0.0,0.0,0.0,0.0,24.06,0.9,0.0
20200115:1830,0.0,0.0,0.0,0.0,23.61,0.9,0.0
20200115:1930,0.0,0.0,0.0,0.0,23.32,0.9,0.0
20200115:2030,0.0,0.0,0.0,0.0,23.01,0.97,0.0
20200115:2130,0.0,0.0,0.0,0.0,22.89,0.9,0.0
20200115:2230,0.0,0.0,0.0,0.0,22.69,0.76,0.0
20200115:2330,0.0,0.0,0.0,0.0,22.3,0.83,0.0
20200116:0030,0.0,0.0,0.0,0.0,22.3,0.9,0.0
20200116:0130,0.0,10.71,0.4,2.62,22.1,0.97,0.0
20200116:0230,181.15,83.82,5.18,16.17,22.15,0.76,0.0
20200116:0330,378.93,111.95,11.08,29.21,23.95,0.62,0.0
20200116:0430,596.45,126.04,17.59,41.32,25.79,0.48,0.0
20200116:0530,696.93,146.73,21.51,51.55,27.73,0.21,0.0
20200116:0630,655.17,208.92,22.65,58.05,29.46,0.14,0.0
20200116:0730,483.77,248.9,19.66,58.41,30.32,0.34,0.0
20200116:0830,416.43,193.12,16.15,52.45,31.29,1.03,0.0
20200116:0930,444.3,155.08,15.02,42.51,31.49,1.79,0.0
20200116:1030,418.46,135.15,12.64,30.55,31.12,2.55,0.0
20200116:1130,207.11,90.95,5.93,17.58,30.06,2.83,0.0
20200116:1230,106.6,26.83,1.29,4.07,28.54,2.41,0.0
20200116:1330,0.0,0.0,0.0,0.0,27.03,1.52,0.0
20200116:1430,0.0,0.0,0.0,0.0,26.23,0.76,0.0
20200116:1530,0.0,0.0,0.0,0.0,25.65,0.21,0.0
20200116:1630,0.0,0.0,0.0,0.0,24.93,0.55,0.0
20200116:1730,0.0,0.0,0.0,0.0,24.46,0.69,0.0
20200116:1830,0.0,0.0,0.0,0.0,23.89,0.55,0.0
20200116:1930,0.0,0.0,0.0,0.0,24.1,0.55,0.0
20200116:2030,0.0,0.0,0.0,0.0,23.96,0.48,0.0
20200116:2130,0.0,0.0,0.0,0.0,23.44,0.62,0.0
20200116:2230,0.0,0.0,0.0,0.0,22.87,0.76,0.0
20200116:2330,0.0,0.0,0.0,0.0,22.62,1.1,0.0
20200117:0030,0.0,0.0,0.0,0.0,22.44,1.17,0.0
20200117:0130,0.0,12.49,0.47,2.58,22.02,1.1,0.0
20200117:0230,274.57,85.87,6.57,16.15,21.96,0.83,0.0
20200117:0330,491.5,105.91,13.23,29.23,24.98,0.48,0.0
20200117:0430,663.48,129.29,19.28,41.36,26.96,0.28,0.0
20200117:0530,777.47,141.21,23.4,51.65,28.91,0.28,0.0
20200117:0630,824.4,149.07,25.31,58.21,30.7,0.48,0.0
20200117:0730,834.07,150.19,25.62,58.62,32.1,0.83,0.0
